EXAME|UNIDADE|VALOR_REF
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|1665 a 5239
OSMOLALIDADE, soro - Osmolalidade, soro - Osmolalidade, soro|mOsm/Kg|280 a 301
INTERLEUCINA 6, soro - Interleucina 6 - Interleucina 6|pg/mL|Menor ou igual a 1,8
FATOR DE NECROSE TUMORAL, soro - Fator de necrose tumoral - Fator de necrose tumoral|pg/mL|0,56 a 1,40
ACIDO METILMALONICO, soro - Ácido metilmalonico, soro - Ácido metilmalonico, soro|micromol/L|Até 0,50
INTERLEUCINA 6, soro - Interleucina 6 - Interleucina 6|pg/mL|1,5 a 7,0
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 27
HEMOGRAMA, sangue total - Metamielócitos - Metamielócitos|/mm3|0
HEMOGRAMA, sangue total - Metamielócitos (%) - Metamielócitos (%)||
HEMOGRAMA, sangue total - Mielócitos - Mielócitos|/mm3|0
HEMOGRAMA, sangue total - Mielócitos (%) - Mielócitos (%)||
HERPES SIMPLEX, TIPO  1 e 2, ANTICORPOS IgG, soro - Herpes Simplex, Tipo 1 e 2, IgG - Herpes Simplex, Tipo 1 e 2, IgG||
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|8 a 41
TESTE TUBERCULINICO COM PPD - PPD - Enduração - PPD - Enduração||
COCCÍDIOS, PESQUISA, fezes - Coccídios, fezes - Coccídios, fezes||NEGATIVO
CADMIO, sangue - Cadmio - Cadmio|microg/dL|*IBMP: 0,5
LEPTINA, soro - Leptina, soro - Leptina, soro|ng/mL|
IODO, plasma - Iodo - Iodo||52 a 109
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Índice - Covid 19, Anticorpos IgG, Elisa - Índice||inferior a 1,01
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2409 a 5610
URINA TIPO I - pH, urina - pH, urina||5,0 a 8,0
URINA TIPO I - Densidade, urina - Densidade, urina||1,010 a 1,030
URINA TIPO I - Proteínas, urina isolada - Proteínas, urina isolada|g/L|inferior a 0,10
URINA TIPO I - Glicose, urina isolada - Glicose, urina isolada|g/L|inferior a 0,3
URINA TIPO I - Corpos cetônicos, urina - Corpos cetônicos, urina|mg/dL|inferior a 5,0 (negativa)
URINA TIPO I - Bilirrubina, urina - Bilirrubina, urina|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - Urobilinogênio, urina - Urobilinogênio, urina|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 30.000/mL
URINA TIPO I - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 12.000/mL
URINA TIPO I - Dismorfismo, urina - Dismorfismo, urina|mg/dL|Ausente
URINA TIPO I - Aspecto, urina - Aspecto, urina||limpido
URINA TIPO I - Cor, urina - Cor, urina||
URINA TIPO I - Cilindros, urina - Cilindros, urina||
URINA TIPO I - Células Epiteliais, urina - Células Epiteliais, urina||
URINA TIPO I - Nitrito, urina - Nitrito, urina||negativa
TRIIODOTIRONINA (T3), soro - Triiodotironina (T3) - Triiodotironina (T3)|ng/dL|72 a 214
HORMONIO TIROESTIMULANTE (TSH), soro - Hormônio Tiroestimulante - Hormônio Tiroestimulante|mUI/L|0,50 a 4,9
IgE, IMUNOGLOBULINA, soro - IgE, Imunoglobulina - IgE, Imunoglobulina|kU/L|inferior a 200
IGE ESPECIFICO, FX1 - ALIMENTOS, soro - Rast - Fx1 - Alimentos - Rast - Fx1 - Alimentos|kU/L|inferior a 0,35
IGE ESPECIFICO, FX3 - ALIMENTOS, soro - Rast - FX3 - Alimentos - Rast - FX3 - Alimentos|kU/L|inferior a 0,35
FERRITINA, soro - Ferritina - Ferritina|microg/L|10 a 150
SÉRIE BRANCA, sangue total - Leucócitos - Leucócitos|/mm3|3.500 a 10.500
SÉRIE BRANCA, sangue total - Neutrófilos - Neutrófilos|/mm3|1.700 a 7.000
SÉRIE BRANCA, sangue total - Eosinófilos - Eosinófilos|/mm3|50 a 500
SÉRIE BRANCA, sangue total - Basófilos - Basófilos|/mm3|0 a 300
SÉRIE BRANCA, sangue total - Linfócitos - Linfócitos|/mm3|900 a 2.900
SÉRIE BRANCA, sangue total - Monócitos - Monócitos|/mm3|300 a 900
SÉRIE BRANCA, sangue total - Neutrófilos (%) - Neutrófilos (%)|%|
SÉRIE BRANCA, sangue total - Eosinófilos (%) - Eosinófilos (%)|%|
SÉRIE BRANCA, sangue total - Basófilos (%) - Basófilos (%)|%|
SÉRIE BRANCA, sangue total - Linfócitos (%) - Linfócitos (%)|%|
SÉRIE BRANCA, sangue total - Monócitos (%) - Monócitos (%)|%|
SÉRIE BRANCA, sangue total - Morfologia, Série Branca - Morfologia, Série Branca||
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 15,0
HEMOGRAMA, sangue total - VCM - VCM|fL|74,0 a 89,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|4.000 a 12.000
HEMOGRAMA, sangue total - Eosinófilos - Eosinófilos|/mm3|0 a 650
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3|1.500 a 7.000
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|35,0 a 44,0
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|25,0 a 32,0
HEMOGRAMA, sangue total - RDW - RDW|%|12,0 a 14,0
IgE, IMUNOGLOBULINA, soro - IgE, Imunoglobulina - IgE, Imunoglobulina|kU/L|inferior a 60
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|24 a 192
IgM, IMUNOGLOBULINA, soro - IgM, Imunoglobulina - IgM, Imunoglobulina|mg/dL|41 a 242
IgG, IMUNOGLOBULINA, soro - IgG, Imunoglobulina - IgG, Imunoglobulina|mg/dL|400 a 1250
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|34 a 280
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|19 a 406
LDL-COLESTEROL, soro - LDL-Colesterol - LDL-Colesterol|mg/dL|menor que 110
NÃO-HDL-COLESTEROL, soro - Colesterol não-HDL, soro - Colesterol não-HDL, soro|mg/dL|menor que 120
COLESTEROL TOTAL, soro - Colesterol total - Colesterol total|mg/dL|menor que 170
HDL-COLESTEROL, soro - HDL-Colesterol - HDL-Colesterol|mg/dL|maior que 45
TRIGLICERIDES, soro - Triglicérides - Triglicérides|mg/dL|< 90
VLDL-COLESTEROL, soro - VLDL-Colesterol - VLDL-Colesterol|mg/dL|< 18
HORMONIO FOLICULO ESTIMULANTE (FSH), soro - Observação - Observação||
ERITROPOIETINA (EPO), soro - Eritropoietina (EPO) - Eritropoietina (EPO)||2,6 a 18,5
PLAQUETAS - Plaquetas - Plaquetas|/mm3|150.000 a 450.000
PLAQUETAS - Volume plaquetário médio - Volume plaquetário médio|%|9,2 a 12,6
CONTAGEM DE RETICULOCITOS, sangue total - Reticulócitos - Reticulócitos|/mm3|30.000 a 100.000
CONTAGEM DE RETICULOCITOS, sangue total - Reticulócitos % - Reticulócitos %||
HORMONIO LUTEINIZANTE (LH), soro - Observação - Observação||
TESTOSTERONA LIVRE,soro - Observação - Observação||
TESTOSTERONA LIVRE, soro - Testosterona livre, massa - Testosterona livre, massa|pmol/L|2,0 a 37,0
TESTOSTERONA, soro - Testosterona, massa - Testosterona, massa|ng/dL|9 a 63
FOSFATASE ACIDA, soro - Fosfatase Ácida - Prostática - Fosfatase Ácida - Prostática|UI/L|Até 3,0
LEGIONELLA, anticorpos totais, soro - Legionella, anticorpos totais - Legionella, anticorpos totais||Não reagente
ISOENZIMAS DA AMILASE, soro - Amilase - Amilase|U/L|28 a 100
ISOENZIMAS DA AMILASE, soro - Amilase salivar - Amilase salivar|U/L|53 a 102
ISOENZIMAS DA AMILASE, soro - Amilase pancreatica - Amilase pancreatica|U/L|8 a 53
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2343 a 5612
OSMOLALIDADE, soro - Osmolalidade, soro - Osmolalidade, soro|mOsm/Kg|275 a 295
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2504 a 5709
GLICOSE-6-FOSFATO DESIDROGENASE (G6PD), eritrócitos - Glicose-6-Fosfato Desidrogenase (G6PD) - Glicose-6-Fosfato Desidrogenase (G6PD)||Maior ou igual a 6,7
CREATININA, urina - Creatinina, urina - Creatinina, urina||14 a 26
AMONIA, plasma - Amônia - Amônia|micromol/L|16 a 60
ACIDO VALPROICO, soro - Ácido Valpróico - Ácido Valpróico|microgramas/mL|50 a 100
GLICOSE, soro - Glicose - Glicose|mg/dL|70 a 99
FOSFATASE ALCALINA (ALP), plasma - Fosfatase Alcalina - Fosfatase Alcalina|U/L|40 - 129
SUBUNIDADE ALFA DOS HORMONIOS GLICOPROTEICOS HIPOFISARIOS, soro - Sub Alfa-Hormonios Glicoproteico Hipofisários - Sub Alfa-Hormonios Glicoproteico Hipofisários|ng/L|Pré-menopausa: 80 a 604
PROTEÍNA E RELAÇÃO PROTEÍNA/CREATININA, amostra isolada de urina - Proteínas, urina isolada - Proteínas, urina isolada|g/L|
PROTEÍNA E RELAÇÃO PROTEÍNA/CREATININA, amostra isolada de urina - Creatinina, urina isolada - Creatinina, urina isolada|g/L|
PROTEÍNA E RELAÇÃO PROTEÍNA/CREATININA, amostra isolada de urina - Relação Proteínas/Creatinina - Relação Proteínas/Creatinina|g/L|
PROTEINASE - 3, ANTICORPOS, soro - Proteinase - 3, Anticorpos - Proteinase - 3, Anticorpos||Não reagente: inferior a 0,9
pH, Urina - pH, urina - pH, urina||5,4 a 6,60
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2238 a 5717
DETERMINAÇÃO DO SEXO FETAL PELA ANÁLISE DO SANGUE MATERNO - DNA Fetal - DNA Fetal||
DETERMINAÇÃO DO SEXO FETAL PELA ANÁLISE DO SANGUE MATERNO - DNA Fetal - Conclusão - DNA Fetal - Conclusão||
ANTICORPOS ANTI-INSULINA, soro - Anti-Insulina - Anti-Insulina|nmol/L|Menor ou igual a 0,02
EXAME PARASITOLOGICO DE FEZES (MIF) - Parasitológico - Parasitológico||
ANTIGENO DO CRYPTOSPORIDIUM SP - Cryptosporidium, fezes - Cryptosporidium, fezes||Não reagente
IGE ESPECIFICO, I3 - VESPA, soro - Rast - I3 - Vespa - Rast - I3 - Vespa|kU/L|inferior a 0,35
IGE ESPECIFICO, I4 - VESPA (MARIMBONDO), soro - Rast - I4 - Vespa (Marimbondo) - Rast - I4 - Vespa (Marimbondo)|kU/L|inferior a 0,35
IGE ESPECIFICO, MX2 - FUNGOS, soro - Rast - MX2 - Fungos - Rast - MX2 - Fungos|kU/L|inferior a 0,35
IGE ESPECIFICO, F3 - bacalhau (Gadus morhua), SORO - Rast - F3 - Bacalhau (Gadus morhua) - Rast - F3 - Bacalhau (Gadus morhua)|kU/L|inferior a 0,35
HEMOGRAMA, sangue total - Blastos - Blastos|/mm3|0
HEMOGRAMA, sangue total - Blastos (%) - Blastos (%)||
ESTRONA (E1), soro - Observação - Observação||
PESQUISA DE MUTAÇÕES ASSOCIADAS À HEMOCROMATOSE - Mutação 845G>A (C282Y) - Mutação 845G>A (C282Y)||Mutação ausente
PESQUISA DE MUTAÇÕES ASSOCIADAS À HEMOCROMATOSE - Mutação 187C>G (H63D) - Mutação 187C>G (H63D)||Mutação ausente
PESQUISA DE MUTAÇÕES ASSOCIADAS À HEMOCROMATOSE - Mutação 193A>T (S65C) - Mutação 193A>T (S65C)||Mutação ausente
OXCARBAZEPINA, soro - Oxcarbazepina - Oxcarbazepina|microgramas/mL|15 a 35
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2161 a 5691
PRE-ALBUMINA, soro - Pré-albumina - Pré-albumina|mg/dL|20,0 a 40,0
TRANSGLUTAMINASE TECIDUAL, IgG, soro - Transglutaminase tecidual, IgG - Transglutaminase tecidual, IgG|Unidades|
FATOR VIII DA COAGULACAO, plasma - Fator VIII - Fator VIII|%|50 a 150
ANTIGENO DO FATOR DE von WILLEBRAND, plasma - Fator de von Willebrand - Fator de von Willebrand|%|66 a 175
DIOXIDO DE CARBONO TOTAL, soro - Dióxido de carbono total - Dióxido de carbono total|mmol/L|22 a 29
HELICOBACTER PYLORI, ANTICORPOS IgG, soro - Helicobacter Pylori, IgG - Helicobacter Pylori, IgG||Não reagente: inferior a 0,8
AMILASE, plasma - Amilase - Amilase|U/L|28 a 100
LIPASE, plasma - Lipase - Lipase|U/L|inferior a 60
PROTEÍNA S, ATIVIDADE, plasma - Proteína S Atividade - Proteína S Atividade|%|64 a 150
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,8 a 16,0
HEMOGRAMA, sangue total - VCM - VCM|fL|81,0 a 92,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|3.600 a 9.100
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,40 a 5,50
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|37,0 a 47,0
HEMOGRAMA, sangue total - RDW - RDW|%|11,6 a 13,8
FERRO, soro - Ferro - Ferro|microg/dL|50 a 120
CALCIO, soro - Cálcio - Cálcio|mg/dL|8,8 a 10,8
CREATININA, soro - Creatinina - Creatinina|mg/dL|0,50 a 1,00
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA - TTPA|segundos|22,3 a 35,7
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA-Paciente/Normal - TTPA-Paciente/Normal|segundos|0,80 a 1,28
TRIIODOTIRONINA (T3), soro - Triiodotironina (T3) - Triiodotironina (T3)|ng/dL|94 a 241
TESTOSTERONA, soro - Testosterona, massa - Testosterona, massa|ng/dL|240 a 816
IGE ESPECIFICO, D70 - Acarus siro, soro - Rast - D70 - Ácarus siro - Rast - D70 - Ácarus siro|kU/L|inferior a 0,35
IGE ESPECIFICO, EX71 - PENAS, soro - Rast - EX71 - Penas - Rast - EX71 - Penas|kU/L|inferior a 0,35
IGE ESPECIFICO, O1 - ALGODÃO, soro - Rast - O1 - Algodão - Rast - O1 - Algodão|kU/L|inferior a 0,35
IGE ESPECIFICO, O201 - FOLHA DE TABÁCO, soro - Rast - O201 - Folha de tabaco - Rast - O201 - Folha de tabaco|kU/L|inferior a 0,35
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 14,0
HEMOGRAMA, sangue total - VCM - VCM|fL|77,0 a 91,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|3.400 a 9.500
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,20 a 5,10
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|36,0 a 42,0
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|25,0 a 33,0
FOSFORO INORGANICO, soro - Fósforo - Fósforo|mg/dL|4,5 a 5,5
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|129 - 417
CREATINOQUINASE TOTAL (CK), soro - CK - CK|U/L|30 a 150
TIROXINA (T4), soro - Tiroxina (T4) - Tiroxina (T4)|microg/dL|6,4 a 13,3
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2385 a 5956
HORMONIO LUTEINIZANTE (LH), soro - LH Pediátrico - LH Pediátrico|UI/L|
TESTOSTERONA LIVRE, soro - Testosterona livre, massa - Testosterona livre, massa|pmol/L|131,0 a 640,0
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|12 a 259
"IMUNOGLOBULINA ""A"" SECRETORA (IgAs) - IgA Secretora (IgAs) - IgA Secretora (IgAs)"|mg/dL|Superior a 6,0
TRIIODOTIRONINA (T3), soro - Observação - Observação||
PAINEL SOROLOGICO PARA ECHOVIRUS - Echovirus tipo 4 - Echovirus tipo 4||
PAINEL SOROLOGICO PARA ECHOVIRUS - Echovirus tipo 7 - Echovirus tipo 7||
PAINEL SOROLOGICO PARA ECHOVIRUS - Echovirus tipo 9 - Echovirus tipo 9||
PAINEL SOROLOGICO PARA ECHOVIRUS - Echovirus tipo 11 - Echovirus tipo 11||
PAINEL SOROLOGICO PARA ECHOVIRUS - Echovirus tipo 30 - Echovirus tipo 30||
SARS-CoV-2, ANTICORPOS IgM E IgG, TESTE RÁPIDO - Covid 19, Material - Covid 19, Material||
SARS-CoV-2, ANTICORPOS IgM E IgG, TESTE RÁPIDO - Covid 19, Anticorpos IgM, teste rápido - Covid 19, Anticorpos IgM, teste rápido||Não reagente
SARS-CoV-2, ANTICORPOS IgM E IgG, TESTE RÁPIDO - Covid 19, Anticorpos IgG, teste rápido - Covid 19, Anticorpos IgG, teste rápido||Não reagente
SARS-CoV-2, ANTICORPOS IgM E IgG, TESTE RÁPIDO - Covid 19,Antic IgM/IgG,teste rápido-Interpret - Covid 19,Antic IgM/IgG,teste rápido-Interpret||
SARS-CoV-2, ANTICORPOS IgM E IgG, TESTE RÁPIDO - Covid 19, Antic IgM/IgG, teste rápido-Observ - Covid 19, Antic IgM/IgG, teste rápido-Observ||
ARSENICO, sangue total - Arsenico, sangue - Arsenico, sangue|ng/mL|0 a 12
POTASSIO, urina - Volume (mL) - Volume (mL)||
POTASSIO, urina - Potássio, urina 24h - Potássio, urina 24h|mEq/L|
POTASSIO, urina - Potássio, urina  24h no volume enviado - Potássio, urina  24h no volume enviado|mEq/24h|25 a 125
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2027 a 5610
PREGNENOLONA, soro - Pregnenolona - Pregnenolona|ng/dL|
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2251 a 5808
Ro/SS-A, AUTO-ANTICORPOS, soro - Ro/SS-A - Ro/SS-A||Não reagente
La/SS-B, AUTO-ANTICORPOS, soro - La/SS-B - La/SS-B||Não reagente
Clostridioides (Clostridium) difficile, PESQUISA DE TOXINAS A e B - Clostridium difficile - Clostridium difficile||
ATIVIDADE DO COFATOR DA RISTOCETINA, plasma - Ristocetina - Ristocetina|%|61 a 240
ANTICORPOS CONTRA O VIRUS DA HEPATITE E (VHE), soro - Hepatite E, IgG - Hepatite E, IgG||Não reagente
ANTICORPOS CONTRA O VIRUS DA HEPATITE E (VHE), soro - Hepatite E, IgM - Hepatite E, IgM||Não reagente
OXALATO, urina - Oxalato, urina - Oxalato, urina|mg/24h|17 a 43
CISTINA, urina de 24 horas - Cistina, urina 24h - Cistina, urina 24h|mg/24h|5,8 a 44,2
CALCIO, soro - Cálcio - Cálcio|mg/dL|8,4 a 10,2
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|116 - 468
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|24 a 247
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Albumina - Eletro - Albumina|g/dL|3,54 a 4,83
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Alfa 1 globulina - Eletro - Alfa 1 globulina|g/dL|0,22 a 0,41
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Alfa 2 globulina - Eletro - Alfa 2 globulina|g/dL|0,64 a 1,13
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Beta 1 globulina - Eletro - Beta 1 globulina|g/dL|0,30 a 0,55
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Beta 2 globulina - Eletro - Beta 2 globulina|g/dL|0,19 a 0,44
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Gama globulina - Eletro - Gama globulina|g/dL|0,50 a 1,68
11-DESOXICORTISOL, soro - 11-Desoxicortisol - 11-Desoxicortisol||
LAMOTRIGINA, soro - Lamotrigina - Lamotrigina|microgramas/mL|3 a 14
TACROLIMUS, sangue total - Tacrolimus - HPLC - Tacrolimus - HPLC|ng/mL|10,0 a 20,0
PROCALCITONINA, plasma - Procalcitonina - Procalcitonina|ng/mL|
MIOGLOBINA, plasma - Mioglobina - Mioglobina|ng/mL|inferior a 72
LINFOCITOS T TOTAIS (CD-3), sangue - Linfócitos T CD3+ - Linfócitos T CD3+|/mm3|1035 a 2333
URINA TIPO I - PRIMEIRO JATO - Cor, urina 1J - Cor, urina 1J||
URINA TIPO I - PRIMEIRO JATO - Aspecto, urina 1J - Aspecto, urina 1J||límpido
URINA TIPO I - PRIMEIRO JATO - Células Epiteliais, urina 1J - Células Epiteliais, urina 1J||
URINA TIPO I - PRIMEIRO JATO - Cilindros, urina 1J - Cilindros, urina 1J||
URINA TIPO I - PRIMEIRO JATO - Nitrito, urina 1J - Nitrito, urina 1J||negativa
URINA TIPO I - PRIMEIRO JATO - Bilirrubina, urina 1J - Bilirrubina, urina 1J|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - PRIMEIRO JATO - Urobilinogênio, urina 1J - Urobilinogênio, urina 1J|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - PRIMEIRO JATO - pH, urina 1J - pH, urina 1J||5,0 a 8,0
URINA TIPO I - PRIMEIRO JATO - Proteínas, urina 1J - Proteínas, urina 1J|g/L|inferior a 0,10
URINA TIPO I - PRIMEIRO JATO - Eritrócitos quantitativo, urina 1J - Eritrócitos quantitativo, urina 1J||inferior a 10.000/mL
URINA TIPO I - PRIMEIRO JATO - Leucócitos quantitativo, urina 1J - Leucócitos quantitativo, urina 1J||inferior a 20.000/mL
URINA TIPO I - PRIMEIRO JATO - Glicose, urina 1J - Glicose, urina 1J|g/L|inferior a 0,3
URINA TIPO I - PRIMEIRO JATO - Corpos cetônicos, urina 1J - Corpos cetônicos, urina 1J|mg/dL|inferior a 5,0 (negativa)
URINA TIPO I - PRIMEIRO JATO - Densidade, urina 1J - Densidade, urina 1J||1,010 a 1,030
SUBSTANCIAS REDUTORAS, pesquisa nas fezes - Substancias redutoras, fezes - Substancias redutoras, fezes||
5'NUCLEOTIDASE - 5-Nucleotidase - 5-Nucleotidase|U/L|0 a 10
TRICOMONAS - Tricomonas, urina - Tricomonas, urina||
UREAPLASMA UREALYTICUM E UREAPLASMA PARVUM, DETECÇÃO DO DNA POR PCR - Ureaplasma urealyticum - Ureaplasma urealyticum||
UREAPLASMA UREALYTICUM E UREAPLASMA PARVUM, DETECÇÃO DO DNA POR PCR - Ureaplasma parvum - Ureaplasma parvum||
SEDIMENTO URINARIO - JATO MEDIO - Dismorfismo, urina - Dismorfismo, urina||Ausente
IGE ESPECIFICO, F7 - AVEIA, soro - Rast - F7 - Aveia - Rast - F7 - Aveia|kU/L|inferior a 0,35
IGE ESPECIFICO, F25 - TOMATE, soro - Rast - F25 - Tomate - Rast - F25 - Tomate|kU/L|inferior a 0,35
IGE ESPECIFICO, F33 - LARANJA, soro - Rast - F33 - Laranja - Rast - F33 - Laranja|kU/L|inferior a 0,35
IGE ESPECIFICO, F36 - COCO, soro - Rast - F36 - Coco - Rast - F36 - Coco|kU/L|inferior a 0,35
IGE ESPECIFICO, F208 - LIMAO, soro - Rast - F208 - Limão - Rast - F208 - Limão|kU/L|inferior a 0,35
IGE ESPECIFICO, F80 - LAGOSTA, soro - Rast - F80 - Lagosta - Rast - F80 - Lagosta|kU/L|inferior a 0,35
IGE ESPECIFICO, F49 - MAÇÃ, soro - Rast - F49 - maçã - Rast - F49 - maçã||
IGE ESPECIFICO, F293 - PAPAIA, soro - Rast - F293 - Papaia - Rast - F293 - Papaia|kU/L|inferior a 0,35
IGE ESPECIFICO, F91 - MANGA, soro - Rast - F91 - Manga - Rast - F91 - Manga|kU/L|inferior a 0,35
IGE ESPECIFICO, F87 - MELÃO, soro - Rast - F87 - Melão - Rast - F87 - Melão|kU/L|inferior a 0,35
IGE ESPECIFICO, F44 - MORANGO, soro - Rast - F44 - Morango - Rast - F44 - Morango|kU/L|inferior a 0,35
IGE ESPECIFICO, F95 - PESSÊGO, soro - Rast - F95 - pêssego - Rast - F95 - pêssego|kU/L|inferior a 0,35
IGE ESPECIFICO, F59 - Polvo, soro - Rast - F59 - polvo - Rast - F59 - polvo||
IGE ESPECIFICO, F308 - SARDINHA, soro - Rast - F308 - sardinha - Rast - F308 - sardinha|kU/L|inferior a 0,35
IGE ESPECIFICO, F259 - UVA, soro - Rast - F259 - Uva - Rast - F259 - Uva|kU/L|inferior a 0,35
IGE ESPECIFICO, F83 - CARNE DE GALINHA, soro - Rast - F83 - Carne de galinha - Rast - F83 - Carne de galinha|kU/L|inferior a 0,35
IGE ESPECIFICO, F210 - ABACAXI, SORO - Rast - F210 - Abacaxi - Rast - F210 - Abacaxi|kU/L|inferior a 0,35
IGE ESPECIFICO, F47 - ALHO, soro - Rast - F47 - Alho - Rast - F47 - Alho|kU/L|inferior a 0,35
IGE ESPECIFICO, F9 - ARROZ, soro - Rast - F9 - Arroz - Rast - F9 - Arroz|kU/L|inferior a 0,35
IGE ESPECIFICO,F23 - Caranguejo, soro  - Rast - F23 - Caranguejo - Rast - F23 - Caranguejo|kU/L|inferior a 0,35
IGE ESPECIFICO, F48 - CEBOLA, soro - Rast - F48 - Cebola - Rast - F48 - Cebola|kU/L|inferior a 0,35
IGE ESPECIFICO, F31 - CENOURA, soro - Rast - F31 - Cenoura - Rast - F31 - Cenoura|kU/L|inferior a 0,35
IGE ESPECIFICO, F6 - CEVADA, soro - Rast - F6 - Cevada - Rast - F6 - Cevada|kU/L|inferior a 0,35
IGE ESPECIFICO, F58 - LULA DO PACÍFICO, soro - Rast - F58 - Lula do Pacífico - Rast - F58 - Lula do Pacífico|kU/L|inferior a 0,35
IGE ESPECIFICO, F12 - ERVILHA, soro - Rast - F12 - Ervilha - Rast - F12 - Ervilha|kU/L|inferior a 0,35
IGE ESPECIFICO, F15 - FEIJÃO BRANCO, soro - Rast - F15 - Feijão branco - Rast - F15 - Feijão branco|kU/L|inferior a 0,35
IGE ESPECIFICO, C2 - Penicilina V, soro - Rast - C2 - Penicilina V - Rast - C2 - Penicilina V|kU/L|inferior a 0,35
IGE ESPECIFICO, E3 - DESCAMACAO - PELE DE CAVALO, soro - Rast - E3 - Descamação pele de cavalo - Rast - E3 - Descamação pele de cavalo|kU/L|inferior a 0,35
MAGNESIO, ERITROCITARIO, sangue - Magnésio eritrocitário - Magnésio eritrocitário|mg/dL|4,0 a 6,4
IGE ESPECIFICO, EX72 - PENAS, soro - Rast - EX72 - Penas - Rast - EX72 - Penas|kU/L|inferior a 0,35
ANTICORPOS ANTI-VIRUS DA HEPATITE C (Anti-HCV), soro - Observação - Observação||
